OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-HI,USGS Hawaii Water Science Center,USGS-193938156005601,"Treated wastewater at Kealakehe WWTP, Kona, HI",Facility: Outfall,,20010000,,,,,19.66075,-156.0157222,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193952155591301,"8-3959-01 Kamakana, HI",Well,,20010000,,,,,19.66469444,-155.987111,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,542.35,feet,0.01,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Mixed (confined and unconfined) multiple aquifers,2011,1000,ft,1000,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193955155572901,"8-4057-01 Keahuola QLT 1, HI",Well,,20010000,,,,,19.66527778,-155.9580556,24000,3,seconds,Unknown.,NAD83,1761.82,feet,1,feet,Reported method of determination.,LMSL,US,15,1,,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,,1787,ft,1787,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194004156005101,"Monitor well 2, Kealakehe, Kona, HI",Well,,20010000,,,,,19.66794444,-156.0143333,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,55,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,,,,76.5,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194005156011201,"Boring 16, Kealakehe, Kona, HI",Well: Test hole not completed as a well,,20010000,,,,,19.66805556,-156.0201667,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,20,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,,,,30,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194006156011701,"Coastal spring at berth F8, Honokohau Harbor, HI",Ocean: Coastal,,20010000,,,,,19.66855556,-156.0213889,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,0,feet,1,feet,Reported method of determination.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194009156011501,"Coastal spring at berth E1, Honokohau Harbor, HI",Ocean: Coastal,,20010000,,,,,19.66925,-156.0210833,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,0,feet,1,feet,Reported method of determination.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194014156013301,"Kaloko Anchialine Pool 099, HI",Spring,,20010000,,,,,19.67052778,-156.0258889,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Unconfined single aquifer,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194017156013701,"Aiopio fish trap, north edge, HI",Ocean: Coastal,,20010000,,,,,19.67138889,-156.0269444,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,0,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194034156013201,"Aimakapa Fishpond, South Shore, HI","Lake, Reservoir, Impoundment",,20010000,,,,,19.6761111,-156.0255556,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194035156013001,"Honokohau precip site nr alt 5 ft, HI",Atmosphere,,20010000,,,,,19.6763611,-156.0248889,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5,feet,5,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194037155035301,"8-4003-01 Panaewa W-1, HI",Well,,20010000,,,,,19.67388056,-155.0618944,24000,1,seconds,Interpolated from Digital MAP.,NAD83,206.1,feet,0.1,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19631004,306,ft,306.3,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194037156013001,"Aimakapa Fishpond, East Shore, HI","Lake, Reservoir, Impoundment",,20010000,,,,,19.67694444,-156.025,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194039155035601,"8-4003-03 Panaewa W-3, HI",Well,,20010000,,,,,19.6725,-155.0622222,24000,1,seconds,Interpolated from Digital MAP.,NAD83,206,feet,20,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,,301.77,ft,303,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194042156013501,"Aimakapa Fishpond, North Shore, HI","Lake, Reservoir, Impoundment",,20010000,,,,,19.67833333,-156.0263889,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194043156013201,"Aimakapa fishpond A45, HI",Estuary,,20010000,,,,,19.67866667,-156.0255556,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,16,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Unconfined single aquifer,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194050156014701,"Kaloko Anchialine Pool 016, HI",Spring,,20010000,,,,,19.68047222,-156.0296667,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Unconfined single aquifer,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194053156013001,"8-4061-01 KAHO Well 1, HI",Well,,20010000,,,,,19.67835,-156.0222194,24000,1,seconds,Interpolated from Digital MAP.,NAD83,36.68,feet,0.01,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,1995,52,ft,52,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194056155575201,"8-4158-02 Honokohau Well, HI",Well,,20010000,,,,,19.68222222,-155.9644444,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1680.58,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Unconfined single aquifer,1991,1735,ft,1735,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194100156015301,"Kaloko Anchialine Pool 53H, HI",Spring,,20010000,,,,,19.68322222,-156.0313333,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,16,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194109156020101,"Kaloko cut, inland edge, HI",Ocean: Coastal,,20010000,,,,,19.68583333,-156.033611,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194114156015301,"Kaloko Fishpond, Southeast Shore, HI","Lake, Reservoir, Impoundment",,20010000,,,,,19.68722222,-156.0313889,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194116156015501,"Kaloko Fishpond, southeast inland edge, HI",Estuary,,20010000,,,,,19.68777778,-156.0319444,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194119156020201,"Kaloko Fishpond, West Shore, HI","Lake, Reservoir, Impoundment",,20010000,,,,,19.6886111,-156.0338889,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194120156013501,"8-4161-02 KAHO Well 2, HI",Well,,20010000,,,,,19.68584444,-156.0236139,24000,1,seconds,Interpolated from Digital MAP.,NAD83,53.33,feet,0.01,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,199601,63.8,ft,69,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194120156015701,"Kaloko Fishpond, Northeast Shore, HI","Lake, Reservoir, Impoundment",,20010000,,,,,19.68888889,-156.0325,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194122156011801,"Kaloko National Park Office, HI",Facility: Water-distribution system,,20010000,,,,,19.68933333,-156.0215278,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194122156015901,"North Kaloko fishpond G18, HI",Estuary,,20010000,,,,,19.68955556,-156.0331667,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Unconfined single aquifer,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194122156020501,"Kaloko Anchialine Pool 118, HI",Spring,,20010000,,,,,19.6893611,-156.03475,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,0,feet,1,feet,Interpolated from topographic map.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194125156015501,"8-4161-01 KAHO Well 3, HI",Well,,20010000,,,,,19.68723889,-156.0291639,24000,1,seconds,Interpolated from Digital MAP.,NAD83,22.96,feet,0.01,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,19960118,34,ft,34,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194125156020501,"Kaloko Anchialine Pool 144, HI",Spring,,20010000,,,,,19.69033333,-156.0346944,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Unconfined single aquifer,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194127156020401,"8-4162-04 Kohanaiki MW400, HI",Well,,20010000,,,,,19.69077778,-156.0344167,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7,feet,5,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Unconfined single aquifer,20081111,23.5,ft,24.5,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194128156015601,"8-4161-11 Kohanaiki MW401, HI",Well,,20010000,,,,,19.69125,-156.0323056,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,16.58,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Unconfined single aquifer,20081114,131.3,ft,133,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194131156014801,"Kohanaiki irrigation pond, HI","Lake, Reservoir, Impoundment",,20010000,,,,,19.69202778,-156.0300278,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,15,1,Hawaii volcanic-rock aquifers,,Volcanic Rocks,Unconfined single aquifer,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194150156001201,"8-4160-02 Kaloko 2, HI",Well,,20010000,,,,,19.69672222,-156.0013056,24000,0.1,seconds,Differentially corrected Global Positioning System.,NAD83,541.39,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,19851119,561,ft,561,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194157155574101,"Kaloko precip site nr alt 2,220 ft, HI",Atmosphere,,20010000,,,,,19.69925,-155.9615,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2220,feet,20,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194214155562101,"Kaloko precip site nr alt 3,470 ft, HI",Atmosphere,,20010000,,,,,19.70388889,-155.9391667,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3470,feet,20,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194217156021501,"8-4262-02 Kohanaiki 2, HI",Well,,20010000,,,,,19.70472222,-156.0375,24000,3,seconds,Unknown.,NAD83,68.3,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,2007,76,ft,76,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194222155034801,8-4203-06 W8-2B,Well,,20010000,,,,,19.70308333,-155.0605583,24000,1,seconds,Interpolated from MAP.,NAD83,50,feet,20,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19640429,200,ft,200,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-194222155583701,"8-4258-03 Hualalai Exp Well, HI",Well,,20010000,,,,,19.70304722,-155.9741889,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1681.42,feet,0.01,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,Confined multiple aquifers,1993,1822,ft,1823,ft,NWIS
