ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,SampleCollectionMethod/MethodName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName
Sediment,NA,6/5/2002,NARS_WQX-HI02-0046,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,16100,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75639,-155.09056,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,p-Terphenyl-d14,NA,76,%,NA,NULL,%,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/6/2002,NARS_WQX-HI02-0044,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,998,ug/g,NA,NULL,ug/g,Pohakumanu Bay,Estuary,NA,19.8725,-155.10333,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0038,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,9.8,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,20.01722,-155.83972,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,88.3,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,82200,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0039,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,138,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,19.98195,-155.845,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0040,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,19.5,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,19.97639,-155.83806,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,Nickel,Total,2.8,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0042,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,184,ug/g,NA,NULL,ug/g,Anaehoomalu Bay,Estuary,NA,19.91361,-155.89139,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,832,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,24.6,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0050,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,3970,ug/g,NA,NULL,ug/g,Reeds Bay,Estuary,NA,19.7275,-155.06195,NAD83,NA,NA,NA,NA,NA,NA
Biological,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Invert Sample,NA,Toxicity sediment survival,NA,85,%,NCA Invertebrate Sediment Toxicity Analysis Method,NA,NA,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,cis-Chlordane,Total,0.78,ng/g,NA,0.69,ng/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0038,NCA Standard Sediment Sample for multiple analysis,NA,Chromium,Total,9,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,20.01722,-155.83972,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0043,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,2440,ug/g,NA,NULL,ug/g,Kua Bay,Estuary,NA,19.81139,-156.00722,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0050,NCA Standard Sediment Sample for multiple analysis,NA,p-Terphenyl-d14,NA,64,%,NA,NULL,%,Reeds Bay,Estuary,NA,19.7275,-155.06195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,2660,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,3270,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Silver,Total,0.29,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,682,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
Biological,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Invert Sample,NA,Toxicity sediment survival,NA,95,%,NCA Invertebrate Sediment Toxicity Analysis Method,NA,NA,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0039,NCA Standard Sediment Sample for multiple analysis,NA,Nickel,Total,3.7,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,19.98195,-155.845,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0041,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,100,ug/g,NA,NULL,ug/g,Makaiwa Bay,Estuary,NA,19.94333,-155.87,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0040,NCA Standard Sediment Sample for multiple analysis,NA,Copper,Total,5.9,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,19.97639,-155.83806,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0043,NCA Standard Sediment Sample for multiple analysis,NA,Nickel,Total,18.5,ug/g,NA,NULL,ug/g,Kua Bay,Estuary,NA,19.81139,-156.00722,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Silver,Total,0.33,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0038,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,10.7,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,20.01722,-155.83972,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,42600,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,Copper,Total,70.1,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Biological,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Invert Sample,NA,Toxicity sediment survival,NA,90,%,NCA Invertebrate Sediment Toxicity Analysis Method,NA,NA,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Biological,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Invert Sample,NA,Toxicity sediment survival,NA,75,%,NCA Invertebrate Sediment Toxicity Analysis Method,NA,NA,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0042,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,2800,ug/g,NA,NULL,ug/g,Anaehoomalu Bay,Estuary,NA,19.91361,-155.89139,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,875,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0041,NCA Standard Sediment Sample for multiple analysis,NA,Organic carbon,Total,0.09,%,NA,-99,%,Makaiwa Bay,Estuary,NA,19.94333,-155.87,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,110,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,Cadmium,Total,0.07,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0036,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,2110,ug/g,NA,NULL,ug/g,Keawanui Bay,Estuary,NA,20.11722,-155.88722,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0050,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,26.3,ug/g,NA,NULL,ug/g,Reeds Bay,Estuary,NA,19.7275,-155.06195,NAD83,NA,NA,NA,NA,NA,NA
Biological,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Invert Sample,NA,Toxicity sediment survival,NA,80,%,NCA Invertebrate Sediment Toxicity Analysis Method,NA,NA,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0041,NCA Standard Sediment Sample for multiple analysis,NA,Nickel,Total,27.5,ug/g,NA,NULL,ug/g,Makaiwa Bay,Estuary,NA,19.94333,-155.87,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,Lead,Total,1.1,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,Tin,Total,0.7,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/6/2002,NARS_WQX-HI02-0044,NCA Standard Sediment Sample for multiple analysis,NA,Nickel,Total,140,ug/g,NA,NULL,ug/g,Pohakumanu Bay,Estuary,NA,19.8725,-155.10333,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,Chromium,Total,296,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,p-Terphenyl-d14,NA,56,%,NA,NULL,%,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,cis-Chlordane,Total,0.77,ng/g,NA,0.62,ng/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,p-Terphenyl-d14,NA,62,%,NA,NULL,%,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0046,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,84.8,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75639,-155.09056,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0038,NCA Standard Sediment Sample for multiple analysis,NA,Organic carbon,Total,0.14,%,NA,-99,%,Kawaihae Bay,Estuary,NA,20.01722,-155.83972,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,Nickel,Total,120,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,Copper,Total,7.1,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0041,NCA Standard Sediment Sample for multiple analysis,NA,Chromium,Total,33.6,ug/g,NA,NULL,ug/g,Makaiwa Bay,Estuary,NA,19.94333,-155.87,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0036,NCA Standard Sediment Sample for multiple analysis,NA,Silver,Total,0.02,ug/g,NA,NULL,ug/g,Keawanui Bay,Estuary,NA,20.11722,-155.88722,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,841,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0042,NCA Standard Sediment Sample for multiple analysis,NA,Copper,Total,9.1,ug/g,NA,NULL,ug/g,Anaehoomalu Bay,Estuary,NA,19.91361,-155.89139,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,"2,2',3,4,4',5'-Hexachlorobiphenyl",NA,1.9,ng/g,NA,0.69,ng/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0039,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,4560,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,19.98195,-155.845,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/6/2002,NARS_WQX-HI02-0044,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,83600,ug/g,NA,NULL,ug/g,Pohakumanu Bay,Estuary,NA,19.8725,-155.10333,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,Copper,Total,7.2,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0039,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,20.3,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,19.98195,-155.845,NAD83,NA,NA,NA,NA,NA,NA
Biological,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Invert Sample,NA,Toxicity sediment survival,NA,70,%,NCA Invertebrate Sediment Toxicity Analysis Method,NA,NA,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0039,NCA Standard Sediment Sample for multiple analysis,NA,Lead,Total,1.6,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,19.98195,-155.845,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,Nickel,Total,104,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0043,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,12,ug/g,NA,NULL,ug/g,Kua Bay,Estuary,NA,19.81139,-156.00722,NAD83,NA,NA,NA,NA,NA,NA
Biological,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Invert Sample,NA,Toxicity sediment survival,NA,75,%,NCA Invertebrate Sediment Toxicity Analysis Method,NA,NA,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,Lead,Total,1.4,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0042,NCA Standard Sediment Sample for multiple analysis,NA,Organic carbon,Total,0.92,%,NA,-99,%,Anaehoomalu Bay,Estuary,NA,19.91361,-155.89139,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,45400,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0043,NCA Standard Sediment Sample for multiple analysis,NA,Organic carbon,Total,0.06,%,NA,-99,%,Kua Bay,Estuary,NA,19.81139,-156.00722,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,53500,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0038,NCA Standard Sediment Sample for multiple analysis,NA,Chromium,Total,8.1,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,20.01722,-155.83972,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Mercury,Total,0.07,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0046,NCA Standard Sediment Sample for multiple analysis,NA,p-Terphenyl-d14,NA,60,%,NA,NULL,%,Hilo Bay,Estuary,NA,19.75639,-155.09056,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Nickel,Total,307,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0038,NCA Standard Sediment Sample for multiple analysis,NA,Lead,Total,1.3,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,20.01722,-155.83972,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0046,NCA Standard Sediment Sample for multiple analysis,NA,Chromium,Total,159,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.75639,-155.09056,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,54800,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0042,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,11200,ug/g,NA,NULL,ug/g,Anaehoomalu Bay,Estuary,NA,19.91361,-155.89139,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0047,NCA Standard Sediment Sample for multiple analysis,NA,cis-Chlordane,Total,0.88,ng/g,NA,0.78,ng/g,Hilo Bay,Estuary,NA,19.75028,-155.07195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0050,NCA Standard Sediment Sample for multiple analysis,NA,Chromium,Total,12.4,ug/g,NA,NULL,ug/g,Reeds Bay,Estuary,NA,19.7275,-155.06195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0036,NCA Standard Sediment Sample for multiple analysis,NA,Organic carbon,Total,0.16,%,NA,-99,%,Keawanui Bay,Estuary,NA,20.11722,-155.88722,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,Copper,Total,44.8,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
